ПРИЕМ	ПРИНЦИП	СПОСОБЫ
ПРИЕМ 28	ЗАМЕНА МЕХАНИЧЕСКОЙ СХЕМЫ	а) Заменить механическую систему оптической, акустической или запаховой. ;б) Использовать электрические, магнитные и электромагнитные поля для взаимодействия с объектом. ;в) Перейти от неподвижных полей к движущимся, от фиксированных - к меняющимся по времени, от неструктурных - к имеющим определенную структуру. ;г) Использовать поля в сочетании с ферромагнитными частицами.
ПРИЕМ 29	ИСПОЛЬЗОВАНИЕ ПНЕВМО- И ГИДРОКОНСТРУКЦИЙ	Вместо твердых частей объекта использовать газообразные и жидкие: надувные и гидронаполняемые, воздушную подушку, гидростатические и гидрореактивные.
ПРИЕМ 30	ИСПОЛЬЗОВАНИЕ ГИБКИХ ОБОЛОЧЕК И ТОНКИХ ПЛЕНОК	а) Вместо обычных конструкций использовать гибкие оболочки и тонкие пленки. ; б) Изолировать объект от внешней среды с помощью гибких оболочек и тонких пленок.
ПРИЕМ 31	ПРИМЕНЕНИЕ ПОРИСТЫХ МАТЕРИАЛОВ	а) Выполнить объект пористым или использовать дополнительные пористые элементы (вставки, покрытия и т. п.) ;б) Если объект уже выполнен пористым, предварительно заполнить поры
ПРИЕМ 32	ПРИНЦИП ИЗМЕНЕНИЯ ОКРАСКИ	а) Изменить окраску объекта или внешней среды. ; б) Изменить степень прозрачности объекта или внешней среды. ; в) Для наблюдения за плохо видимыми объектами или процессами использовать красящие добавки. ;г) Если такие добавки уже применяются, использовать меченые атомы.
ПРИЕМ 33	ПРИНЦИП ОДНОРОДНОСТИ	Объекты, взаимодействующие с данным объектом, должны быть сделаны из того же материала (или близкого ему по свойствам).
ПРИЕМ 34	ПРИНЦИП ОТБРОСА И РЕГЕНЕРАЦИИ ЧАСТЕЙ	а) Выполнившая свое назначение или ставшая ненужной часть объекта должна быть отброшена (растворена, испарена и т. д.) или видоизменена непосредственно в ходе работы. ;б) Расходуемые части объекта должны быть восстановлены непосредственно в ходе работы.
ПРИЕМ 35	ИЗМЕНЕНИЕ ФИЗИКО-ХИМИЧЕСКИХ ПАРАМЕТРОВ ОБЪЕКТА	а) Изменить агрегатное состояние объекта. ; б) Изменить концентрацию или консистенцию. ;в) Изменить степень гибкости. ; г) Изменить температуру.
ПРИЕМ 36	ПРИМЕНЕНИЕ ФАЗОВЫХ ПЕРЕХОДОВ	Использовать явления, возникающие при фазовых переходах, например изменение объема, выделение или поглощение тепла и т. д.
ПРИЕМ 37	ПРИМЕНЕНИЕ ТЕРМИЧЕСКОГО РАСШИРЕНИЯ	а) Использовать термическое расширение (или сжатие) материалов. ; б) Если термическое расширение уже используется, применить несколько материалов с разными коэффициентами термического расширения.
ПРИEM 38	ПРИМЕНЕНИЕ СИЛЬНЫХ ОКИСЛИТЕЛЕЙ	а) Заменить обычный воздух обогащенным. ; б) Заменить обогащенный воздух кислородом. ; в) Воздействовать на воздух или кислород ионизирующими излучениями. ; г) Использовать озонированный кислород. ; д) Заменить озонированный (или ионизированный) кислород озоном.
ПРИЕМ 39	ПРИМЕНЕНИЕ ИНЕРТНОЙ СРЕДЫ	а) Заменить обычную среду инертной. ; б) Вести процесс в вакууме.
ПРИЕМ 40	ПРИМЕНЕНИЕ КОМПОЗИЦИОННЫХ МАТЕРИАЛОВ	Перейти от однородных материалов к композиционным.
